emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-751,Airway,Anatomy,true_false,The epiglottis covers the trachea during swallowing to prevent aspiration.,TRUE,The epiglottis is a flap of cartilage that folds over the glottic opening during swallowing. This prevents food and liquid from entering the trachea and lungs.
EMR-TF-752,Airway,Anatomy,true_false,The cricoid cartilage is the only complete ring of cartilage in the airway.,TRUE,The cricoid is the only complete cartilaginous ring. It is located below the thyroid cartilage. All other tracheal cartilages are C-shaped rings open posteriorly.
EMR-TF-753,Airway,Anatomy,true_false,In children the narrowest part of the airway is at the cricoid cartilage.,TRUE,In children under 8 years the narrowest point is at the cricoid below the vocal cords. In adults the narrowest point is at the glottis level of vocal cords.
EMR-TF-754,Airway,Assessment,true_false,Snoring respirations indicate the tongue may be obstructing the airway.,TRUE,Snoring occurs when the tongue partially blocks the airway in the posterior pharynx. It indicates need for airway positioning or adjunct to move the tongue forward.
EMR-TF-755,Airway,Assessment,true_false,Gurgling respirations indicate fluid in the airway that needs suctioning.,TRUE,Gurgling sounds indicate the presence of blood vomit or secretions in the airway. Suction is needed to clear the airway and prevent aspiration.
EMR-TF-756,Airway,Assessment,true_false,Stridor is a high-pitched sound indicating upper airway obstruction.,TRUE,Stridor is a harsh high-pitched sound heard primarily on inspiration. It indicates significant narrowing of the upper airway from swelling foreign body or other obstruction.
EMR-TF-757,Airway,Assessment,true_false,Absent breath sounds on one side may indicate pneumothorax or other serious condition.,TRUE,Unilateral absent or diminished breath sounds can indicate pneumothorax hemothorax or foreign body obstruction of a main bronchus. Always compare both sides.
EMR-TF-758,Airway,Management,true_false,The head-tilt chin-lift is the preferred method to open the airway in trauma patients.,FALSE,Head-tilt chin-lift extends the neck which could worsen spinal injury. Jaw-thrust without head extension is preferred for trauma patients with suspected spinal injury.
EMR-TF-759,Airway,Management,true_false,Proper head positioning is often sufficient to open an obstructed airway.,TRUE,Many airway obstructions are caused by the tongue falling back. Simply repositioning the head using head-tilt chin-lift or jaw-thrust often opens the airway without adjuncts.
EMR-TF-760,Airway,Management,true_false,Infants require a neutral head position rather than hyperextension for airway opening.,TRUE,Infant airways are more anterior and hyperextension can actually obstruct them. A neutral or slightly extended position sniffing position is optimal for infant airway management.
EMR-TF-761,Airway,Adjuncts,true_false,An OPA that is too large can push the epiglottis down and obstruct the airway.,TRUE,An oversized OPA can displace the epiglottis posteriorly causing or worsening obstruction. Proper sizing from corner of mouth to earlobe prevents this complication.
EMR-TF-762,Airway,Adjuncts,true_false,The OPA is inserted with the tip toward the palate then rotated 180 degrees in adults.,TRUE,In adults the OPA is inserted upside down with tip toward the hard palate then rotated 180 degrees as it passes the tongue. This prevents pushing the tongue backward.
EMR-TF-763,Airway,Adjuncts,true_false,NPAs can be used in patients with suspected basilar skull fracture.,FALSE,NPAs are relatively contraindicated in basilar skull fracture due to risk of intracranial placement. Signs include raccoon eyes Battle sign and CSF leakage from ears or nose.
EMR-TF-764,Airway,Adjuncts,true_false,The NPA is measured from the nostril to the earlobe.,TRUE,Proper NPA sizing is from the tip of the nose to the earlobe. A properly sized NPA maintains airway patency without extending too far into the pharynx.
EMR-TF-765,Airway,Adjuncts,true_false,The NPA should be lubricated with a water-soluble lubricant before insertion.,TRUE,Lubrication eases insertion and reduces trauma to the nasal mucosa. Use water-soluble lubricant. Insert along the floor of the nasal cavity not upward.
EMR-TF-766,Airway,Suctioning,true_false,Rigid suction catheters are preferred for suctioning the oropharynx.,TRUE,Rigid Yankauer catheters are designed for oropharyngeal suctioning. They are more effective for removing thick secretions and vomit than flexible catheters.
EMR-TF-767,Airway,Suctioning,true_false,Suction should be applied continuously for as long as needed to clear the airway.,FALSE,Suctioning removes oxygen and can cause hypoxia. Limit suctioning to 10-15 seconds then provide ventilation. Repeat as needed with oxygenation between attempts.
EMR-TF-768,Airway,Suctioning,true_false,Position changes can help with airway drainage if suction is not immediately available.,TRUE,Turning the patient to the side can allow gravity to drain fluids from the airway. This can be a temporizing measure until suction is available.
EMR-TF-769,Airway,Obstruction,true_false,A conscious choking adult who cannot speak cough or breathe needs immediate abdominal thrusts.,TRUE,Complete airway obstruction with inability to speak cough or breathe is immediately life-threatening. Perform abdominal thrusts until the object is expelled or the patient becomes unconscious.
EMR-TF-770,Airway,Obstruction,true_false,Back blows and chest thrusts are used for choking infants rather than abdominal thrusts.,TRUE,Abdominal thrusts can damage infant abdominal organs. Use 5 back blows alternating with 5 chest thrusts for infant choking. Continue until object clears or infant becomes unconscious.
EMR-TF-771,Airway,Obstruction,true_false,Blind finger sweeps should be performed to remove foreign bodies from the airway.,FALSE,Blind finger sweeps are not recommended as they may push objects deeper. Only remove visible objects. Look in the mouth with each airway opening during CPR for choking victim.
EMR-TF-772,Airway,Obstruction,true_false,Chest compressions during CPR may help dislodge a foreign body in an unconscious choking victim.,TRUE,Chest compressions generate higher airway pressures than abdominal thrusts. When a choking patient becomes unconscious begin CPR which may dislodge the object.
EMR-TF-773,Breathing,Physiology,true_false,Inspiration is primarily an active process while normal expiration is passive.,TRUE,The diaphragm and intercostals contract actively during inspiration. Normal expiration is passive from elastic recoil. Accessory muscle use for expiration indicates distress.
EMR-TF-774,Breathing,Physiology,true_false,The normal stimulus to breathe is rising carbon dioxide levels not falling oxygen.,TRUE,Chemoreceptors primarily respond to rising CO2 levels. Oxygen levels must fall significantly before they drive respiration. This has implications for COPD patients.
EMR-TF-775,Breathing,Physiology,true_false,Minute volume equals respiratory rate multiplied by tidal volume.,TRUE,Minute volume is the total air moved per minute calculated as rate times tidal volume. Both fast shallow breathing and slow deep breathing can produce inadequate minute volume.
EMR-TF-776,Breathing,Assessment,true_false,Respiratory rate alone is sufficient to determine if breathing is adequate.,FALSE,Rate quality and depth must all be assessed. A patient breathing 20 times per minute with minimal depth may be hypoventilating. Assess the complete respiratory picture.
EMR-TF-777,Breathing,Assessment,true_false,Use of accessory muscles indicates increased work of breathing.,TRUE,Accessory muscles sternocleidomastoid scalenes intercostals are recruited when normal respiratory muscles cannot meet demands. Their use indicates significant respiratory distress.
EMR-TF-778,Breathing,Assessment,true_false,Tripod positioning is assumed by patients to maximize breathing capacity.,TRUE,Sitting upright and leaning forward with hands on knees tripod position maximizes use of accessory muscles and diaphragm function. Patients instinctively assume this position in distress.
EMR-TF-779,Breathing,Assessment,true_false,Paradoxical breathing where the chest and abdomen move in opposite directions may indicate fatigue.,TRUE,Normal breathing shows coordinated chest and abdominal movement. When they move oppositely it can indicate respiratory muscle fatigue or impending failure.
EMR-TF-780,Breathing,Assessment,true_false,Cyanosis is a late sign of hypoxia.,TRUE,Cyanosis requires significant deoxygenation to be visible approximately 5g/dL of deoxygenated hemoglobin. Other signs like tachycardia and altered mental status may appear earlier.
EMR-TF-781,Breathing,Ventilation,true_false,Each ventilation should be delivered over approximately 1 second.,TRUE,Slow steady breaths over 1 second allow air to reach the alveoli and reduce gastric insufflation. Fast forceful breaths are less effective and increase complications.
EMR-TF-782,Breathing,Ventilation,true_false,Visible chest rise confirms adequate ventilation.,TRUE,Watching for chest rise confirms air is entering the lungs. If the chest does not rise reposition the airway and retry. Excessive volume causing stomach rise should be avoided.
EMR-TF-783,Breathing,Ventilation,true_false,Two-rescuer BVM ventilation is more effective than single-rescuer technique.,TRUE,One rescuer can use both hands to maintain mask seal while the other squeezes the bag. This improves both seal and ventilation delivery compared to single-rescuer technique.
EMR-TF-784,Breathing,Ventilation,true_false,Gastric distension from ventilation can impair breathing and increase aspiration risk.,TRUE,Air in the stomach pushes up on the diaphragm limiting lung expansion. A full stomach also increases aspiration risk. Slow ventilations with appropriate volume minimize this.
EMR-TF-785,Breathing,Ventilation,true_false,The ventilation rate during CPR with an advanced airway is 10 breaths per minute.,TRUE,With an advanced airway in place ventilate at 10 breaths per minute one every 6 seconds asynchronously with compressions. Without advanced airway use 30:2 ratio.
EMR-TF-786,Breathing,Oxygen,true_false,Room air contains approximately 21% oxygen.,TRUE,Atmospheric air is approximately 21% oxygen 78% nitrogen and 1% other gases. Supplemental oxygen increases the inspired concentration above this baseline.
EMR-TF-787,Breathing,Oxygen,true_false,A nasal cannula is appropriate for patients who need only low concentrations of supplemental oxygen.,TRUE,Nasal cannula delivers 24-44% oxygen at 1-6 LPM. It is comfortable and appropriate for patients with adequate respiratory effort who need mild supplementation.
EMR-TF-788,Breathing,Oxygen,true_false,The reservoir bag on a non-rebreather mask must remain inflated during inspiration.,TRUE,The reservoir bag provides the high concentration of oxygen. If it collapses during inspiration the patient is not getting adequate oxygen. Ensure adequate flow to keep it inflated.
EMR-TF-789,Breathing,Oxygen,true_false,Humidified oxygen is preferred for prolonged oxygen administration.,TRUE,Supplemental oxygen is dry and can irritate airways. Humidification adds moisture reducing irritation and drying of mucous membranes during extended use.
EMR-TF-790,Breathing,Oxygen,true_false,Pulse oximetry measures oxygen saturation in arterial blood.,TRUE,Pulse oximetry uses light absorption to measure the percentage of hemoglobin saturated with oxygen in arterial blood. Normal SpO2 is 95-100% in healthy individuals.
EMR-TF-791,Breathing,Oxygen,true_false,Pulse oximetry can detect carbon monoxide poisoning.,FALSE,Pulse oximeters cannot distinguish between oxygen and carbon monoxide bound to hemoglobin. SpO2 may read normal despite life-threatening CO poisoning.
EMR-TF-792,Breathing,Oxygen,true_false,SpO2 below 94% generally indicates the need for supplemental oxygen.,TRUE,Normal SpO2 is 95-100%. Saturation below 94% indicates hypoxemia and generally warrants supplemental oxygen. Lower targets may be acceptable for COPD patients.
EMR-TF-793,Breathing,Pathology,true_false,Asthma involves inflammation and bronchospasm of the lower airways.,TRUE,Asthma affects the bronchi and bronchioles causing inflammation bronchospasm and mucus production. This results in wheezing dyspnea and reduced air flow.
EMR-TF-794,Breathing,Pathology,true_false,COPD patients may rely on low oxygen levels rather than high CO2 to stimulate breathing.,TRUE,Some COPD patients with chronic CO2 retention develop hypoxic drive. Their stimulus to breathe becomes low oxygen rather than high CO2. High-flow O2 may depress their respiratory drive.
EMR-TF-795,Breathing,Pathology,true_false,Pneumonia is an infection of the lungs causing fluid accumulation in alveoli.,TRUE,Pneumonia is lung infection from bacteria viruses or other pathogens. It causes inflammation and fluid accumulation in alveoli impairing gas exchange. Signs include fever cough and crackles.
EMR-TF-796,Breathing,Pathology,true_false,Pulmonary edema is fluid in the lungs often from heart failure.,TRUE,Pulmonary edema occurs when fluid accumulates in the alveoli. Left heart failure causes blood to back up into the lungs forcing fluid out. Signs include severe dyspnea and crackles.
EMR-TF-797,Breathing,Pathology,true_false,Pulmonary embolism is a blood clot blocking pulmonary arteries.,TRUE,PE occurs when a clot usually from deep leg veins travels to and blocks pulmonary arteries. It can cause sudden dyspnea chest pain hypoxia and cardiac arrest.
EMR-TF-798,Breathing,Pathology,true_false,Tension pneumothorax can cause cardiovascular collapse by compressing the heart.,TRUE,Tension pneumothorax allows air to accumulate under pressure shifting the mediastinum and compressing the heart and great vessels. This reduces venous return causing cardiovascular collapse.
EMR-TF-799,Breathing,Pathology,true_false,Flail chest causes paradoxical chest wall movement impairing ventilation.,TRUE,Flail chest occurs when multiple rib fractures create a free segment that moves opposite to the rest of the chest. This paradoxical movement impairs ventilation.
EMR-TF-800,Breathing,Special Considerations,true_false,Children have higher oxygen consumption relative to body size than adults.,TRUE,Children have higher metabolic rates consuming more oxygen per kilogram than adults. This makes them more susceptible to hypoxia and faster to decompensate from respiratory compromise.